Temperature,Pump_Pressure,Inlet_Pressure,Outlet_Pressure,Flowrate
35.662338,11.238281,4.274292,16.544161,277.854736
36.549221,11.269043,4.213257,16.67981,277.581848
35.591114,11.230957,4.172974,16.755749,281.631775
35.609364,11.238281,4.213867,16.558487,278.929077
36.957642,11.286621,4.143066,16.387722,287.761749
34.747341,11.239746,4.213257,16.601995,279.5914
37.229073,11.277832,4.177856,16.68881,298.038818
35.723927,11.19873,4.168091,16.471823,285.824127
35.334427,11.233887,4.173584,16.336182,276.831421
35.810795,11.267578,4.171753,16.435118,282.739471
37.336872,11.296875,4.196777,16.525398,286.713074
36.462276,11.29834,4.195557,16.261259,285.799286
37.648788,11.291016,4.155273,16.420593,284.179321
35.89362,11.270508,4.248657,16.638222,281.80304
35.469646,11.208984,4.214478,16.608755,287.51828
34.743176,11.241211,4.248657,16.602028,277.717773
37.332333,11.264648,4.224854,16.634598,298.01709
37.602333,11.296875,4.197388,16.746689,290.102936
35.665394,11.267578,4.162598,16.685118,284.260223
35.084538,11.24707,4.238281,16.65984,278.067566
38.153996,11.302734,4.153442,16.605646,285.619659
35.878841,11.269043,4.187622,16.678381,282.256714
35.481655,11.232422,4.281006,16.605635,280.079468
35.504425,11.236816,4.342041,16.590799,275.560333
35.602757,11.19873,4.172363,16.478779,285.801697
34.885601,11.169434,4.14978,16.582167,282.424835
37.200394,11.230957,4.18396,16.659708,288.281158
35.578396,11.230957,4.21875,16.627213,284.858795
36.35891,11.235352,4.158325,16.729982,274.505615
38.039261,11.29834,4.306641,16.622355,287.339478
35.774223,11.25,4.169922,16.725912,279.378143
37.41729,11.283691,4.266968,16.433924,281.789398
36.873528,11.217773,4.128418,15.866984,285.374725
37.327099,11.238281,4.119263,16.717945,290.407105
35.351555,11.182617,4.241943,16.610168,282.732422
35.283386,11.245605,4.188232,16.413725,278.960754
36.896946,11.220703,4.227295,16.352455,285.463501
37.492325,11.280762,4.182739,16.677959,294.578705
35.060085,11.25,4.224854,16.473513,274.185577
34.893276,11.172363,4.197998,16.632851,282.415924
35.802513,11.20166,4.177246,16.529577,284.403442
37.198544,11.232422,4.177246,16.679783,290.002564
